preflabel,definition,notation,altlabel,related
NZGD2000 / Collingwood 2000,,2114,COLLTM2000,
NZGD49 / Collingwood Circuit,,27214,COLLTM1949,
NZGD2000 / Gawler 2000,,2125,GAWLTM2000,
NZGD49 / Gawler Circuit,,27225,GAWLTM1949,
NZGD2000 / Grey 2000,,2118,GREYTM2000,
NZGD49 / Grey Circuit,,27218,GREYTM1949,
NZGD2000 / Hawkes Bay 2000,,2108,HAWKTM2000,
NZGD49 / Hawkes Bay Circuit,,27208,HAWKTM1949,
NZGD2000 / Hokitika 2000,,2121,HOKITM2000,
NZGD49 / Hokitika Circuit,,27221,HOKITM1949,
NZGD2000 / Jacksons Bay 2000,,2123,JACKTM2000,
NZGD49 / Jacksons Bay Circuit,,27223,JACKTM1949,
NZGD2000 / Karamea 2000,,2116,KARATM2000,
NZGD49 / Karamea Circuit,,27216,KARATM1949,
NZGD2000 / Lindis Peak 2000,,2127,LINDTM2000,
NZGD49 / Lindis Peak Circuit,,27227,LINDTM1949,
NZGD2000 / Marlborough 2000,,2120,MARLTM2000,
NZGD49 / Marlborough Circuit,,27220,MARLTM1949,
NZGD2000 / Mount Eden 2000,,2105,EDENTM2000,
NZGD49 / Mount Eden Circuit,,27205,EDENTM1949,
NZGD2000 / Bay of Plenty 2000,,2106,PLENTM2000,
NZGD49 / Bay of Plenty Circuit,,27206,PLENTM1949,
NZGD2000 / Mount Pleasant 2000,,2124,PLEATM2000,
NZGD49 / Mount Pleasant Circuit,,27224,PLEATM1949,
NZGD2000 / Mount York 2000,,2129,YORKTM2000,
NZGD49 / Mount York Circuit,,27229,YORKTM1949,
NZGD2000 / Mount Nicholas 2000,,2128,NICHTM2000,
NZGD49 / Mount Nicholas Circuit,,27228,NICHTM1949,
NZGD2000 / Nelson 2000,,2115,NELSTM2000,
NZGD49 / Nelson Circuit,,27215,NELSTM1949,
NZGD2000 / North Taieri 2000,,2131,TAIETM2000,
NZGD49 / North Taieri Circuit,,27231,TAIETM1949,
NZGD2000 / Observation Point 2000,,2130,OBSETM2000,
NZGD49 / Observation Point Circuit,,27230,OBSETM1949,
NZGD2000 / Okarito 2000,,2122,OKARTM2000,
NZGD49 / Okarito Circuit,,27222,OKARTM1949,
NZGD2000 / Poverty Bay 2000,,2107,POVETM2000,
NZGD49 / Poverty Bay Circuit,,27207,POVETM1949,
NZGD2000 / Taranaki 2000,,2109,TARATM2000,
NZGD49 / Taranaki Circuit,,27209,TARATM1949,
NZGD2000 / Timaru 2000,,2126,TIMATM2000,
NZGD49 / Timaru Circuit,,27226,TIMATM1949,
NZGD2000 / Tuhirangi 2000,,2110,TUHITM2000,
NZGD49 / Tuhirangi Circuit,,27210,TUHITM1949,
NZGD2000 / Wairarapa 2000,,2112,WAIRTM2000,
NZGD49 / Wairarapa Circuit,,27212,WAIRTM1949,
NZGD2000 / Wanganui 2000,,2111,WANGTM2000,
NZGD49 / Wanganui Circuit,,27211,WANGTM1949,
NZGD2000 / Wellington 2000,,2113,WELLTM2000,
NZGD49 / Wellington Circuit,,27213,WELLTM1949,
NZGD49,,4272,NZGD1949,
NZGD2000,,4167,,
NZGD49 / New Zealand Map Grid,,27200,NZMG,
NZGD2000 / New Zealand Transverse Mercator 2000,,2193,NZTM,
