preflabel,definition,notation,altlabel,related
Accretion Claim Affidavit,"Affidavit required in support of the claim for accretion to land. Declaration by an independent person verifying that accretion has been caused by the slow and imperceptible build up of land.",aca,,
Additional Colour Plan Image,"Additional image of a colour plan.",acpi,,
Adjoining Owners Declarations,"Adjoining owners consents for the definition of boundaries as set out in the survey.",aod,,
Amendment List,"List of amendments required to amend a cadastral survey transaction.",al,,
Amendment Report,"Report of the items amended for a cadastral survey transaction and how the amendments were done.",ar,,
Amendments Request,"Request from a surveyor giving authority for a change to be made to their survey.",a-rqt,,
Appellation Request Declined,"Declined request for issue of an appellation for the creation of a parcel of land.",ard,,
Approved notice from MLC,"Correspondence that may accompany a plan returned from the Maori Land Court with the Judge's signature.",andm,,
Approved Form,"Form approved for use in registration, either by the Registrar General of Land (RGL) or Senior Regulatory Adviser (SRA). Any fees are paid against the instrument type FAP.",af,,
Area Schedule,"Schedule of parcels defined in an e-survey for Legalisation or Crown Subdivision purposes. Contains information such as legal description, land status and proposed action. Not to be used for easement/covenant information or for Land Transfer Plans. This SUD type does not bundle with the CSD or Title Plans.",as,,
Calculation Sheet,"Sheet of calculations associated with the survey.",cs,,
Change of Trustee,"Trustee details for Friendly Societies, etc (as opposed to Charitable Trusts). No fees are paid and the application is not registered.",c-t,,
Chief Surveyors Plan Report to DLR,"A report prepared by the approving surveyor outlining any anomalies found by a cadastral survey with existing title.",cspt-dlr,,
Consent / Permit,"Miscellaneous consents. Note consents to the deposit of unit plans have a document type of CON and fees are recorded against that instrument type.",c-p,,
Correspondence,"Letters and other correspondence associated with the survey.",c,,
Court Order,"Court Orders received for Lapsing of Caveats, Joint Family Home advertising etc.",co,,
CSLB (Cadastral Survey Licensing Board) Document,"A Supervision Order requested by the Cadastral Survey Licensing Board (CSLB). The affected surveyor submits their survey with a letter from another licensed surveyor (attached as a supporting document) stating that the survey meets the survey rule requirements. The CSLB will advise the affected surveyor when this supporting document type is to be used.",cslb-d,,
Dataset Lodgement Profile Form,"A template form for the surveyor to complete to indicate the complexity of the e-survey.",dlpf,,
Datum Details,"Details of a particular datum used for a survey.",dd,,
Deposit Document,"Document deposited to support a survey.",d-doc,,
Description of Boundaries ML Court,"Description of the land as set out by the MLC. Māori Land Court Order copy associated with a Māori Land survey.",db-mlc,,
Disciplinary Action Recommendation,"Report details from Chief Surveyor recommending disciplinary action against a Surveyor.",dar,,
E-Dealing Dispensation,"A request accompanying a manual dealing requesting LINZ to exempt the conveyancer from having to present it as an e-dealing.",edd,,
Equipment Test,"Report of equipment test results.",et,,
Error Item Report,"Report detailing the errors identified and the impact on other data.",eir,,
E-Survey Fast Track Processing Request Form,"Requests priority processing for an e-survey with an associated lodged dealing. This document is available as a .pdf on the LINZ website. Solicitors can lodge an e-request via workspace, which is automated.",esftpr,,
Fee Query,"A fee query linked to an associated e-dealing or e-survey.",fq,,
Field Information,"Record of observations taken in the field by a surveyor and associated with the survey.",fi,,
Field Report,"The report prepared after field audit of a survey.",fr,,
Field Request,"Instructions issued for field audit of a cadastral survey.",f-r,,
Geodetic Other,"Miscellaneous geodetic report associated with a geodetic work.",go,,
Geodetic Work Report,"A report supplied by a geodetic contractor giving details of a geodetic work.",gwr,,
Lodgement Form,"A form included with a survey or dealing transaction when manually lodged.",lf,,
Mark and Vectors Report,"Mark and Vectors report for the e-survey.",m-vr,,
Mark Details,"Details of a survey mark. Usually associated with a geodetic mark.",md,,
Mark Photograph,"Photograph of a mark. Usually associated with a geodetic mark.",mp,,
Memorandum,"Memoranda under s209 Land Transfer Act 2017 (also registered as a document).",m,,
Node Confirmation,"Confirmation of location of a proposed node/mark.",nc,,
Occupation Diagram,"Diagram of occupation associated with the survey to attach to a Digital Survey Plan.",od,,
Office Report,"Report prepared after office audit of a cadastral survey.",or,,
Office Request,"The instructions issued for an office audit of a cadastral survey.",o-r,,
Owners Consent,"Owner's consent or  adjoining owner's consent submitted as a separate document but as part of a transaction.",oc,,
Plan Graphic,"Commonly used to depict parcels on CSD's that have permanent structure boundaries or stratum boundaries, e.g., Unit & Cross Lease CSD's. Can be used to show plan, elevation or cross-section views. The Plan Graphic forms part of the Survey Diagram and Diagram of Parcels and bundles with the CSD and Title Plans. This SUD type can also be used for a plan returned from the Maori Land Court signed by the Judge to attach to CSD and Title Plans.",pg,,
