preflabel,definition,notation,altlabel,related
Application,"To be used when registering land under the Land Transfer Act for the first time – usually from Deeds Registered land. Includes Adverse Possession under the Land Transfer Amendment Act 1963. Application for Accretion. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures.",application,,
Crown Forest Lease,"To be used to depict Crown Forest License areas. Note: to be recorded in terms of OSG Policy 1997/01. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in crown forest licenses only. ",cfl,,
Easement,"To be used for depicting an easement when it is not part of a current land subdivision survey. Includes survey of Profit-a-Prendre and Esplanade Strips. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in easements only. ",easement,,
Flat plan/Crosslease Plan,"To depict a standard CSD that shows Flats or Cross Leases. Survey of Restrictive Covenant areas only. No survey system information is provided. Tenure system information may be used to define interests in flat and cross lease parcels only. ",fpcp,,
Flat plan/Crosslease with Survey Sheet,"To depict a standard CSD that shows Flats or Cross Leases and Survey of Restrictive Covenant areas only that includes a survey sheet. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in flat and cross lease parcels, easements or covenants only. ",fpcp-ss,,
Land Transfer Plan Land Covenant,"To be used for depicting land covenants on registered land when only the covenant is shown on the plan i.e. not associated with a current land subdivision survey. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in land covenants only. ",ltlc,,
LT Subdivision,"To be used to depict subdivisions of land owned in fee simple. Includes a new definition of a single parcel. Includes surveys of Amalgamation. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures. ",lts,,
Lease,"To be used to depict parcels for leasehold title. These overlay but do not supersede the underlying cadastre. Survey system information may be adopted by other surveys. Tenure system information may be used to define leasehold interest in the land only.",lease,,
Limited Title,"To be used to depict a definition or subdivision of land owned in fee simple when that land is held in a title Limited asto parcels. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures. ",lt,,
Reclamation,"To be used to depict land registered under the LandTransfer Act for reclamation of seabed, foreshore, stream/riverbed, or lakebed. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures.",reclamation,,
Standard Unit Plan,"To depict a standard Unit Title CSD produced under the Unit Titles Act 1972. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures.",sup,,
Standard Unit Plan with Survey Sheet,"To depict a standard Unit Title CSD with survey sheet produced under the Unit Titles Act 1972. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",sup-ss,,
Subsidiary Standard Unit Plan,"To depict a subsidiary standard Unit Title CSD produced under the Unit Titles Act 2010. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures.",ssup,,
Subsidiary Standard Unit Plan with Survey Sheet,"To depict a subsidiary standard Unit Title CSD with survey sheet produced under the Unit Titles Act 2010. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",ssup-ss,,
Proposed Unit Development,"To depict a standard proposed Unit Development CSD produced under the Unit Titles Act 1972. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures.",pud,,
Proposed Unit Development with Survey Sheet,"To depict a proposed Unit Development plan with survey sheet produced under the Unit Titles Act 1972. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",pud-ss,,
First Stage Unit Plan,"To depict the first stage of a Unit Title staged development CSD produced under the Unit Titles Act 1972 and the Unit Titles Amendment Act 1979. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures.",fsup,,
First Stage Unit Plan with Survey Sheet,"To depict the first stage of a Unit Title staged development CSD with survey sheet, produced under the Unit Titles Act 1972 and the Unit Titles Amendment Act 1979. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",fsup-ss,,
Stage Unit Plan,"To depict a further stage (other than the complete stage) of a Unit Title staged development CSD produced under the Unit Titles Act 1972 and the Unit Titles Amendment Act 1979. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures.",stage-up,,
Stage Unit Plan with Survey Sheet,"To depict a further stage (other than the complete stage) of a Unit Title staged development CSD with survey sheet, produced under the Unit Titles Act 1972 and the Unit Titles Amendment Act 1979. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",stage-up-ss,,
Complete Stage Unit Plan,"To depict a complete Unit Title staged development CSD produced under the Unit Titles Act 1972 and the Unit Titles Amendment Act 1979. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures.",csup,,
Complete Stage Unit Plan with Survey Sheet,"To depict a complete Unit Title staged development CSD with survey sheet produced under the Unit Titles Act 1972 and the Unit Titles Amendment Act 1979. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",csup-ss,,
Subsidiary Proposed Unit Development,"To depict a subsidiary proposed Unit Development CSD produced under the Unit Titles Act 2010. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures.",spud,,
Subsidiary Proposed Unit Development with Survey Sheet,"To depict a subsidiary proposed Unit Development CSD with survey sheet, produced under the Unit Titles Act 2010. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",spud-ss,,
Substituted Proposed Unit Development,"To depict a substituted proposed Unit Title staged development CSD produced under the Unit Titles Act 1972 and the Unit Titles Amendment Act 1979. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures.",sub-pud,,
Substituted Proposed Unit Development with Survey Sheet,"To depict a substituted proposed Unit Title staged development CSD with survey sheet produced under the Unit Titles Act 1972 and the Unit Titles Amendment Act 1979. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",sub-udp-ss,,
Redevelopment Unit Plan,"To depict a redevelopment Unit Title staged development CSD produced under the Unit Titles Act 1972 and the Unit Titles Amendment Act 1979. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures",rup,,
Redevelopment Unit Plan with Survey Sheet,"To depict a redevelopment Unit Title staged development CSD with survey sheet, produced under the Unit Titles Act 1972 and the Unit Titles Amendment Act 1979. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",rup-ss,,
Simple Redevelopment Unit Plan,"To depict a simple redevelopment Unit Title CSD produced under the Unit Titles Act 2010. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures.",srup,,
Simple Redevelopment Unit Plan with Survey Sheet,"To depict a simple redevelopment Unit Title CSD with survey sheet produced under the Unit Titles Act 2010. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",srup-ss,,
Unit Plan in Substitution,"To depict a standard Unit Title ‘CSD in substitution’ produced under the Unit Titles Act 1972. No survey system information is provided. Tenure system information may be used, or adopted for use, in defining applicable interests in unit tenures.",ups,,
Unit Plan in Substitution with Survey Sheet,"To depict Unit Title ‘CSD in substitution’ with survey sheet produced under the Unit Titles Act 1972. Survey system information  may be adopted by other surveys. Tenure system information may be used to define interests in units, easements or covenants only.",ups-ss,,
Complex Boundary Reinstatement,"Used to record one or more boundary marks when the boundary points are not required by the Cadastral Survey Rules 2021. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures.",cbr,,
Crown Subdivision Plan,"To be used to depict subdivisions of Crown land. Includes definition of a single Crown land parcel. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures. ",csp,,
Survey Office Plan Land Covenant,"To be used for depicting land covenants over unregistered land when only the covenant is shown on the plan (ie not associated with a current land subdivision survey) Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in land covenants only. . ",soplc,,
Legalisation,"To be used to depict land to be taken for road or other public purpose. Also may include definition of severances or areas of road to be closed. Includes Treaty Settlement Plans. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures.",legalisation,,
Marine Farming,"To be used to depict areas required for Marine Farming purposes. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in marine farming leases only. ",mf,,
Mining,"To be used to depict areas of land (including water) with a mining permit or license. These overlay but do not supersede the underlying cadastre. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures. ",mining,,
Simple Boundary Reinstatement,"Used to record the placement of one or more boundary marks on an existing boundary point in accordance with Cadastral Survey Rules 2021. Mandatory supporting document (survey report) is to be attached. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures.",sbr,,
Nohoanga (Campsite),"To be used to depict areas of land designated as Nohoanga (campsite) sites in Māori Claim Settlement legislation. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in Nohoanga sites only.",n-c,,
Customary Entitlement,"To be used to depict areas of land of customary entitlement (other than Nohoanga (campsite) sites) in Māori Claim Settlement legislation. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in Customary Entitlement sites only.",ce,,
Statutory Easement/Right,"To be used for depicting a statutory easement or right when it is not part of a current land subdivision survey. Includes plans of Marginal Strips. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in statutory easements or rights only. ",se-r,,
Statutory Vesting,"To depict the boundary of a land area when such is required for Statutory vesting purposes only. Survey system information may be adopted by other surveys. Tenure system information to be used for the Statutory vesting purposes only. It is NOT to be used for any land tenure or title purposes.",sv,,
Survey Information,"To depict survey work which does not define parcels. Survey system information may be adopted by other surveys. These surveys contain no tenure system information. ",si,,
Amalgamations,"To be used to depict amalgamations of Māori land Blocks. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures. ",amalgamation,,
Consolidations,"To be used to depict consolidations of Māori land Blocks. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures. ",consolidation,,
Partition,"To be used to depict partitions (subdivisions) in accordance with a Māori Land Court Partition Order. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures.",partition,,
Revesting,"To be used to depict parcels to be revested as Māori land Blocks. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures.",revesting,,
Roadway,"To be used to depict roadways over Māori land. Survey system information may be adopted by other surveys. Tenure system information may be used to define interests in all land tenures. ",roadway,,
Complex Boundary Reinstatement,"Historical survey purpose - Boundary Reinstatement - Full CSD",h-cbr,,
Not Applicable,"Historical survey purpose - Compiled Survey Information OR Offsetting (for record purposes only) OR Redefinition Record Purposes Only OR Statutory Boundary",h-na,,
Survey Information,"Historical survey purpose - Control OR Offsetting (for approval as to survey) OR Traverses OR Inspection",h-s-i,,
