preflabel,definition,notation,altlabel,related
Far North District,"A district council constituted by Local Government (Northland Region) Reorganisation Order 1989, Gazette 1989, p 2391",001,,
Whangarei District,"A district council constituted by Local Government (Northland Region) Reorganisation Order 1989, Gazette 1989, p 2391",002,,
Kaipara District,"A district council constituted by Local Government (Northland Region) Reorganisation Order 1989, Gazette 1989, p 2391",003,,
Rodney District,A district council constituted by Local Government (Auckland Region) Reorganisation Order 1989 and amalgamated into Auckland by section 6(1) of the Local Government (Auckland Council) Act 2009,4,,Auckland Council
North Shore City,A city council constituted by Local Government (Auckland Region) Reorganisation Order 1989 and amalgamated into Auckland by section 6(1) of the Local Government (Auckland Council) Act 2009,5,,Auckland Council
Waitakere City,A city council constituted by Local Government (Auckland Region) Reorganisation Order 1989 and amalgamated into Auckland by section 6(1) of the Local Government (Auckland Council) Act 2009,6,,Auckland Council
Auckland City,A city council constituted by Local Government (Auckland Region) Reorganisation Order 1989 and amalgamated into Auckland by section 6(1) of the Local Government (Auckland Council) Act 2009,7,,Auckland Council
Manukau City,A city council constituted by Local Government (Auckland Region) Reorganisation Order 1989 and amalgamated into Auckland by section 6(1) of the Local Government (Auckland Council) Act 2009,8,,Auckland Council
Papakura District,A district council constituted by Local Government (Auckland Region) Reorganisation Order 1989 and amalgamated into Auckland by section 6(1) of the Local Government (Auckland Council) Act 2009,9,,Auckland Council
Franklin District,A district council constituted by Local Government (Auckland Region) Reorganisation Order 1989 and amalgamated into Auckland by section 6(1) of the Local Government (Auckland Council) Act 2009,10,,Auckland Council
Thames-Coromandel District,"A district council constituted by Local Government (Waikato Region) Reorganisation Order 1989, Gazette 1989, p 2460",011,,
Hauraki District,"A district council constituted by Local Government (Waikato Region) Reorganisation Order 1989, Gazette 1989, p 2460",012,,
Waikato District,"A district council constituted by Local Government (Waikato Region) Reorganisation Order 1989, Gazette 1989, p 2460",013,,
Not Used,,14,,
Matamata-Piako District,"A district council constituted by Local Government (Waikato Region) Reorganisation Order 1989, Gazette 1989, p 2460",015,,
Hamilton City,"A city council constituted by Local Government (Waikato Region) Reorganisation Order 1989, Gazette 1989, p 2460",016,,
Waipa District,"A district council constituted by Local Government (Waikato Region) Reorganisation Order 1989, Gazette 1989, p 2460",017,,
Ōtorohanga District,"A district council constituted by Local Government (Waikato Region) Reorganisation Order 1989, Gazette 1989, p 2460 and amended by clause 3 of the Local Government (Ōtorohanga District Council) Order 2019 (LI 2019/330)",018,Otorohanga District,
South Waikato District,"A district council constituted by Local Government (Waikato Region) Reorganisation Order 1989, Gazette 1989, p 2460",019,,
Waitomo District,"A district council constituted by Local Government (Waikato Region) Reorganisation Order 1989, Gazette 1989, p 2460",020,,
Taupo District,"A district council constituted by Local Government (Waikato Region) Reorganisation Order 1989, Gazette 1989, p 2460",021,,
Western Bay of Plenty District,"A district council constituted by Local Government (Bay of Plenty Region) Reorganisation Order 1989, Gazette 1989, p 2275",022,,
Western Bay of Plenty Dist.,"An alternative spelling of Western Bay of Plenty District",22,,Western Bay of Plenty District
Tauranga City,"A city council constituted by Local Government (Bay of Plenty Region) Reorganisation Order 1989, Gazette 1989, p 2275 and amended by clause 5 of the Local Government (Tauranga City Council) Order 2003 (SR 2003/275)",023,,
Rotorua District,"A district council constituted by Local Government (Bay of Plenty Region) Reorganisation Order 1989, Gazette 1989, p 2275",024,,
Whakatane District,"A district council constituted by Local Government (Bay of Plenty Region) Reorganisation Order 1989, Gazette 1989, p 2275",025,,
Kawerau District,"A district council constituted by Local Government (Bay of Plenty Region) Reorganisation Order 1989, Gazette 1989, p 2275",026,,
Ōpōtiki District,"A district council constituted by Local Government (Bay of Plenty Region) Reorganisation Order 1989, Gazette 1989, p 2275 and amended by clause 3 of the Local Government (Ōpōtiki District Council) Order 2019 (LI 2019/331)",027,Opotiki District,
Gisborne District,"A district council constituted by 	Local Government (Gisborne Region) Reorganisation Order 1989, Gazette 1989, p 2328",028,,
Wairoa District,"A district council constituted by Local Government (Hawke’s Bay Region) Reorganisation Order 1989, Gazette 1989, p 2334",029,,
Hastings District,"A district council constituted by Local Government (Hawke’s Bay Region) Reorganisation Order 1989, Gazette 1989, p 2334",030,,
Napier City,"A city council constituted by Local Government (Hawke’s Bay Region) Reorganisation Order 1989, Gazette 1989, p 2334",031,,
Central Hawke's Bay District,"A district council constituted by Local Government (Hawke’s Bay Region) Reorganisation Order 1989, Gazette 1989, p 2334",032,,
Central Hawkes Bay District,"An alternative spelling of Central Hawke's Bay District",32,,Central Hawke's Bay District
New Plymouth District,"A district council constituted by Local Government (Taranaki Region) Reorganisation Order 1989, Gazette 1989, p 2445",033,,
Stratford District,"A district council constituted by Local Government (Taranaki Region) Reorganisation Order 1989, Gazette 1989, p 2445",034,,
South Taranaki District,"A district council constituted by Local Government (Taranaki Region) Reorganisation Order 1989, Gazette 1989, p 2445",035,,
Ruapehu District,"A district council constituted by Local Government (Manawatu-Wanganui Region) Reorganisation Order 1989, Gazette 1989, p 2351",036,,
Whanganui District,"A district council constituted by Local Government (Manawatu-Wanganui Region) Reorganisation Order 1989, Gazette 1989, p 2351 and amended by clause 3 of the Local Government (Whanganui District Council) Order 2015 (LI 2015/275)",037,,
