preflabel,definition,notation,altlabel,related
One Tree Point 1964 height,,5767,ONTPHT1964,
Auckland 1946 height,,5759,AUCKHT1946,
Moturiki 1953 height,,5764,MOTUHT1953,
Gisborne 1926 height,,5762,GISBHT1926,
Napier 1962 height,,5765,NAPIHT1962,
Taranaki 1970 height,,5769,TARAHT1970,
Wellington 1953 height,,5770,WELLHT1953,
Nelson 1955 height,,5766,NELSHT1955,
Lyttelton 1937 height,,5763,LYTTHT1937,
Dunedin 1958 height,,5761,DUNEHT1958,
Dunedin-Bluff 1960 height,,4458,DUBLHT1960,
Bluff 1955 height,,5760,BLUFHT1955,
Stewart Island 1977 height,,5772,STISHT1977,
NZVD2016 height,,7839,,
