preflabel,definition,notation,altlabel,related
Anglesey,,1001,,
Benambra,,1002,,
Bendigo,,1003,,
Bogong,,1004,,
Borung,,1005,,
Bourke,,1006,,
Buln Buln,,1007,,
Croajingolong,,1008,,
Dalhousie,,1009,,
Dargo,,1010,,
Delatite,,1011,,
Dundas,,1012,,
Evelyn,,1013,,
Follett,,1014,,
Gladstone,,1015,,
Grant,,1016,,
Grenville,,1017,,
Gunbower,,1018,,
Hampden,,1019,,
Heytesbury,,1020,,
Kara Kara,,1021,,
Karkarooc,,1022,,
Lowan,,1023,,
Millewa,,1024,,
Moira,,1025,,
Mornington,,1026,,
Normanby,,1027,,
Polwarth,,1028,,
Ripon,,1029,,
Rodney,,1030,,
Talbot,,1031,,
Tambo,,1032,,
Tanjil,,1033,,
Tatchera,,1034,,
Villiers,,1035,,
Weeah,,1036,,
Wonnangatta,,1037,,
