preflabel,definition,notation,altlabel,related
Hobsons Bay,S035 1994 p4,331,,
Queenscliffe,G047 1863 p1039,360,,
Brimbank,S097 1994 p18,308,,
Nillumbik,G047 2003 p2972,356,,
Darebin,S097 1994 p20,316,,
Bayside,S097 1994 p18,306,,
Banyule,S097 1994 p17,303,,
Moonee Valley,G050 2007 p3095,349,,
Whittlesea,G003 1999 p119,373,,
Manningham,S158 1999 p10,340,,
Kingston,S097 1994 p22,335,,
Stonnington,S035 1994 p22,363,,
Greater Geelong,S008 1994 p7,327,,
Melbourne,G050 2007 p3095,343,,
Merri-Bek,S097 1994 p26,351,,
Boroondara,S035 1994 p18,307,,
Glen Eira,S097 1994 p21,322,,
Maroondah,S097 1994 p24,342,,
Port Phillip,S035 1994 p26,358,,
Whitehorse,S158 1999 p11,372,,
Casey,S097 1994 p20,312,,
Monash,S097 1994 p25,348,,
Maribyrnong,S097 1994 p24,341,,
Greater Dandenong,S097 1994 p22,326,,
Cardinia,G040 2003 p2572,311,,
Knox,S097 1994 p23,336,,
Wyndham,S097 1994 p31,375,,
Mornington Peninsula,S097 1994 p27,352,,
Yarra,S035 1994 p14,376,,
Hume,S097 1994 p22,333,,
Frankston,S097 1994 p21,320,,
Warrnambool,S063 1994 p15,369,,
Southern Grampians,G019 1996 p1218,362,,
Melton,G036 2012 p2017,344,,
Golden Plains,G012 1995 p742,324,,
Glenelg,G003 1997 p195,323,,
Surf Coast,S063 1994 p15,365,,
Moyne,G003 1996 p205,354,,
Latrobe,S094 1994 p12,337,,
Moorabool,S097 1994 p25,350,,
Bass Coast,S097 1994 p17,304,,
Colac Otway,S063 1994 p10,314,,
Murrindindi,G007 2012 p285,355,,
Baw Baw,S094 1994 p9,305,,
Corangamite,S063 1994 p11,315,,
South Gippsland,S097 1994 p28,361,,
Mitchell,G007 2012 p288,346,,
Greater Shepparton,S087 1994 p28,328,,
Yarra Ranges,G040 2003 p2574,377,,
Greater Bendigo,G016 1996 p30,325,,
Mildura,S004 1995 p17,345,,
Wodonga,G042 2015 p2266,374,,
Ballarat,G012 1995 p740,302,,
Horsham,S004 1995 p16,332,,
Wangaratta,G028 1996 p1872,368,,
Ararat,G003 1996 p203,301,,
Swan Hill,S004 1995 p23,366,,
Wellington,S094 1994 p16,370,,
Campaspe,S004 1995 p13,310,,
East Gippsland,S094 1994 p11,319,,
Pyrenees,S004 1995 p20,359,,
Loddon,S002 1995 p14,338,,
Hepburn,S002 1995 p12,329,,
Moira,S087 1994 p28,347,,
Mount Alexander,S002 1995 p21,353,,
Northern Grampians,G009 1996 p657,357,,
Macedon Ranges,S002 1995 p17,339,,
Central Goldfields,S002 1995 p9,313,,
Indigo,G042 2015 p2266,334,,
Strathbogie,G012 1995 p738,364,,
Yarriambiack,G003 1996 p200,378,,
Gannawarra,S004 1995 p14,321,,
Mansfield,G042 2002 p2839,382,,
Buloke,G009 1996 p655,309,,
Alpine,G046 1998 p2822,300,,
Benalla,G042 2002 p2837,381,,
West Wimmera,S004 1995 p24,371,,
Towong,G042 1996 p2787,367,,
Hindmarsh,S004 1995 p16,330,,
French-Elizabeth-Sandstone Islands (Uninc),,379,,
Falls Creek Alpine Resort (Uninc),,386,,
Gabo Island (Uninc),,389,,
Lake Mountain Alpine Resort (Uninc),,385,,
Mount Baw Baw Alpine Resort (Uninc),,383,,
Mount Buller Alpine Resort (Uninc),,384,,
Mount Hotham Alpine Resort (Uninc),,388,,
Mount Stirling Alpine Resort (Uninc),,387,,
