preflabel,vicnames id
TORRITA,103067
BOINKA,100420
MANANGATANG,101944
SPEEWA,102791
PATCHEWOLLOCK,102466
MURRABIT WEST,102236
SPRINGFIELD,102799
WAITCHIE,103179
STRATEN,102848
SPEED,102790
GOWANFORD,101350
MYALL,102249
WOORINEN,103416
WOORINEN SOUTH,103418
ULTIMA,103135
TURRIFF,103112
KUNAT,101728
TRESCO WEST,103099
KOORLONG,101707
MERRINEE,102033
CARDROSS,100670
MERINGUR,102020
WERRIMULL,103297
AMOR,100160
LIPAROO,101856
KENLEY,101634
WANDOWN,103211
KULWIN,101727
NATYA,102305
WINNAMBOOL,103360
PIANGIL,102491
TUTYE,103115
NEERIM,102312
COCAMBA,100794
TOWAN,103074
BANNERTON,100264
NARRUNG,102299
NYAH WEST,102404
VINIFERA,103164
BEVERFORD,100374
TYNTYNDER,103125
PIRA,102505
WOORINEN NORTH,103417
POLISBET,102520
NOWIE,102387
BIG DESERT,100379
MURRAYDALE,102239
BULGA,100546
BIMBOURIE,100385
MITTYACK,102085
KOOLOONONG,101701
ANNUELLO,100168
LINDSAY POINT,101852
WARGAN,103227
CULLULLERAINE,100902
NEDS CORNER,102310
MERBEIN WEST,102017
BIRDWOODTON,100392
CABARITA,100616
MERBEIN SOUTH,102016
RED CLIFFS,102589
IRAAK,101541
NANGILOC,102272
HAPPY VALLEY,101419
LAKE POWELL,101769
BOUNDARY BEND,100461
WEMEN,103287
NICHOLS POINT,102346
PANITYA,102447
BOLTON,100424
WALPEUP,103199
COWANGIE,100858
CARINA,100672
LINGA,101853
NYAH,102403
BEULAH,100373
DALTONS BRIDGE,100917
YIELIMA,103498
LEITCHVILLE,101822
BARMAH,100278
LAKE MERAN,101766
NYRRABY,102410
CULGOA,100899
FAIRLEY,101148
GANNAWARRA,101215
TITTYBONG,103028
SANDHILL LAKE,102689
COKUM,100802
KALPIENUNG,101595
WILLENABRINA,103337
NULLAWIL,102393
CANNIE,100646
HEALESVILLE,101443
LASCELLES,101805
CHINANGIN,100744
MURRABIT,102235
LAKE CHARM,101755
BOIGBEAT,100419
TARRAWARRA,102952
COLDSTREAM,100809
