preflabel,definition,notation,altlabel,related
Boorongie,,2196,,
Tiega,,3590,,
Kattyoong,,2851,,
Walpa,,3714,,
Koonda,,2908,,
Purnya,,3427,,
Eureka,,2607,,
Boulka,,2212,,
Underbool,,3682,,
Duddo,,2555,,
Tyalla,,3668,,
Boinka,,2169,,
Nurnurnemal,,3343,,
Mittyan,,3129,,
Goonegul,,2699,,
Minook,,3115,,
Copi Plains,,2446,,
Galpunga,,2630,,
Tyagook,,3667,,
Bumbang,,2269,,
Kulkyne,,2939,,
Yelwell,,3986,,
Konardin,,2899,,
Gimpa,,2656,,
Nenandie,,3296,,
Yungera,,4002,,
Narrung,,3283,,
Brockie,,2238,,
Annuello,,2017,,
Wemen,,3792,,
Sunset,,3512,,
Kia,,2871,,
Nulkwyne,,3331,,
Gingimrick,,2658,,
Burra,,2296,,
Barchan,,2069,,
Murlong,,3226,,
Liparoo,,3001,,
Piambie,,3390,,
Koimbo,,2896,,
Boolungal,,2185,,
Burnell,,2294,,
Carool,,2352,,
Nowingi,,3328,,
Toltol,,3601,,
Bitterang,,2158,,
Walpamunda,,3715,,
Mournpoul,,3199,,
Margooya,,3060,,
Galick,,2628,,
Gayfield,,2638,,
Wandown,,3723,,
Koorkab,,2914,,
Geera,,2640,,
Mirkoo,,3122,,
Olney,,3351,,
Woolwoola,,3881,,
Tulillah,,3653,,
Wallpolla,,3711,,
Mullroo,,3216,,
Wargan,,3740,,
Taparoo,,3544,,
Morkalla,,3190,,
Karween,,2847,,
Meringur,,3091,,
Merrinee,,3096,,
Karadoc,,2837,,
Yatpool,,3977,,
Tunart,,3657,,
Yaramba,,3957,,
Carwarp,,2362,,
Raak,,3438,,
Wymlet,,3920,,
Winnambool,,3840,,
Yarrara,,3966,,
Werrimull,,3800,,
Benetook,,2117,,
Ginquam,,2659,,
Boorlee,,2193,,
Malloren,,3046,,
Mallanbool,,3045,,
Warrimoo,,3762,,
Koleya,,2897,,
Tarrango,,3555,,
Willah,,3821,,
Kurnwill,,2944,,
Carwarp West,,2363,,
Nerick,,3298,,
Colignan,,2410,,
Myall,,3244,,
Piangil West,,3392,,
Piangil,,3391,,
Ouyen,,3358,,
Big Desert,,2141,,
Dennying,,2509,,
Boorong,,2195,,
Kooem,,2904,,
Ginap,,2657,,
Yallum,,3937,,
Dattuck,,2502,,
Bitchigal,,2157,,
Wathe,,3776,,
Berriwillock,,2128,,
Hensley,,2752,,
Perrit Perrit,,3388,,
Murrabit,,3230,,
Daalko,,2480,,
Danyo,,2485,,
Patchewollock North,,3377,,
Bimbourie,,2147,,
Baring North,,2072,,
Chillingollah,,2379,,
Woorinen,,3886,,
Manya,,3057,,
Kulwin,,2940,,
Paignie,,3361,,
Larundel,,2976,,
Wagant,,3696,,
Manangatang,,3049,,
Cocamba,,2399,,
Pallarang,,3364,,
Goongee,,2700,,
Woatwoara,,3853,,
Pirro,,3401,,
Pier-Millan,,3394,,
Nyang,,3347,,
Tyntynder West,,3676,,
Nyrraby,,3349,,
Tyntynder,,3674,,
Conga Wonga,,2422,,
Majorlock,,3039,,
Moortworra,,3180,,
Wewin,,3802,,
Waitchie,,3701,,
Koro-Ganeit,,2924,,
Tyntynder North,,3675,,
Timberoo,,3594,,
Berrook,,2130,,
Willangie,,3823,,
Tungie,,3658,,
Nypo,,3348,,
Koorangie,,2912,,
Cronomby,,2465,,
Nyallo,,3346,,
Wiall,,3812,,
Gama,,2631,,
Chinangin,,2384,,
Big Billy,,2140,,
Wortongie,,3905,,
Wyperfeld,,3921,,
Wangie,,3728,,
Pines,,3397,,
Coonimur,,2437,,
Prooinga,,3418,,
Worooa,,3902,,
Carina,,2346,,
Little Billy,,3003,,
Moah,,3130,,
Ultima,,3679,,
Gorya,,2712,,
Bourka,,2213,,
Meatian,,3076,,
Mumbel,,3219,,
Tyrrell,,3678,,
Burupga,,2309,,
Boigbeat,,2167,,
Gunamalary,,2731,,
Ngallo,,3307,,
Dering,,2513,,
Tyenna,,3671,,
Baring,,2071,,
Patchewollock,,3376,,
Joop,,2807,,
Naringaningalook,,3267,,
Yarroweyah,,3972,,
Cocomah,,2400,,
Yielima,,3992,,
Ulupna,,3680,,
Yalca,,3930,,
Meering West,,3081,,
Towma,,3643,,
Pigick,,3395,,
Willoby,,3827,,
Werrap,,3796,,
Kinabulla,,2880,,
Wallowa,,3710,,
Pullut,,3422,,
Kurdgweechee,,2942,,
Cobram,,2397,,
Wirmbirchip,,3848,,
Barmah,,2075,,
Leaghur,,2983,,
Karyrie,,2848,,
Nanowie,,3259,,
Ballapur,,2045,,
Gnarwee,,2691,,
Korrak Korrak,,2928,,
Lalbert,,2957,,
Murnungin,,3229,,
Minapre,,3106,,
Wilhelmina,,3818,,
Chiprick,,2386,,
Wirrbibial,,3851,,
Yanac-A-Yanac,,3944,,
Walpeup,,3716,,
Towan,,3640,,
Mittyack,,3128,,
Woornack,,3889,,
Turoar,,3661,,
Gerahmin,,2646,,
Mulcra,,3211,,
Barnawartha South,,2077,,
Boomahnoomoonah,,2186,,
Barwo,,2087,,
Katunga,,2852,,
Moira,,3138,,
Baulkamaugh,,2092,,
Waaia,,3688,,
Thalia,,3581,,
Boort,,2200,,
Brimin,,2231,,
Kaarimba,,2814,,
Mundoona,,3220,,
Dunbulbalane,,2560,,
Youarang,,3996,,
Terrappee,,3577,,
Watchem,,3771,,
Peechember,,3382,,
Wyuna,,3924,,
Teddywaddy,,3571,,
Peechelba,,3381,,
Talgitcha,,3525,,
Gannawarra,,2633,,
Cannie,,2329,,
Goyura,,2716,,
Watchupga,,3772,,
Gutchu,,2737,,
Gaalanungah,,2625,,
Moonlight,,3161,,
Red Bluff,,3444,,
Marlbed,,3063,,
Gnarr,,2689,,
Mamengoroock,,3048,,
Manpy,,3055,,
Tutye,,3665,,
Lianiduck,,2990,,
Polisbet,,3405,,
Nowie,,3327,,
Bunurouk,,2289,,
Wirmbool,,3849,,
Kenmare,,2860,,
Picola,,3393,,
Gredgwin,,2722,,
Walwa,,3717,,
