preflabel,definition,notation,altlabel,related
Nullawil TP,,5606,,
Koonoomoo TP,,5428,,
Bearii TP,,5056,,
Ninyeunook TP,,5598,,
Birchip TP,,5084,,
Gooramadda TP,,5334,,
Pullut TP,,5655,,
Muckatah TP,,5557,,
Barrapoort TP,,5048,,
Bathumi TP,,5054,,
Haines TP,,5363,,
Pyramid Hill TP,,5659,,
Ellam TP,,5274,,
Yelta TP,,5906,,
Merbein TP,,5516,,
Cullulleraine TP,,5217,,
Benetook TP,,5069,,
Yatpool TP,,5903,,
Pirlta TP,,5639,,
Merrinee TP,,5523,,
Morkalla TP,,5550,,
Karween TP,,5409,,
Meringur TP,,5519,,
Yarrara TP,,5900,,
Carwarp TP,,5159,,
Boonoonar TP,,5099,,
Netherby TP,,5586,,
Echuca TP,,5263,,
Boileau TP,,5091,,
Dunbulbalane TP,,5255,,
Bannerton TP,,5039,,
Hattah TP,,5370,,
Annuello TP,,5012,,
Natya TP,,5580,,
Kiamal TP,,5416,,
Manangatang TP,,5496,,
Galah TP,,5306,,
Wood Wood TP,,5879,,
Miralie TP,,5534,,
"Red Cliffs, at (Mildura)",,3102A,,
Werrimull TP,,5848,,
Bambill TP,,5037,,
Robinvale TP,,5677,,
Nowingi TP,,5605,,
Yungera TP,,5908,,
Kooloonong TP,,5426,,
Bolton TP,,5093,,
Kulwin TP,,5436,,
Piangil TP,,5633,,
Ouyen TP,,5621,,
Cocamba TP,,5183,,
Mittyack TP,,5540,,
Torrita TP,,5797,,
Underbool TP,,5812,,
Nyah West TP,,5612,,
Springhurst TP,,5727,,
Chinkapook TP,,5174,,
Boinka TP,,5092,,
Cowangie TP,,5203,,
Pier-Millan TP,,5634,,
Pira TP,,5637,,
Danyo TP,,5222,,
Woorinen South TP,,5883,,
Swan Hill TP,,5747,,
Tempy TP,,5777,,
Goschen TP,,5340,,
Yarto TP,,5902,,
Sea Lake TP,,5703,,
Mystic Park TP,,5569,,
Boigbeat TP,,5090,,
Koondrook TP,,5427,,
Berriwillock TP,,5075,,
Woomelang TP,,5882,,
Walpeup TP,,5824,,
Nyah TP,,5611,,
Kerang TP,,5413,,
Curyo TP,,5219,,
Rainbow TP,,5664,,
Cobram TP,,5181,,
Beulah TP,,5081,,
Gunbower TP,,5360,,
Carlyle TP,,5156,,
Yarrawonga TP,,5901,,
Barmah TP,,5045,,
Aubrey TP,,5021,,
Warracknabeal TP,,5834,,
Buckrabanyule TP,,5123,,
Tongala TP,,5786,,
Wooroonook TP,,5885,,
Barrakee TP,,5047,,
Lockington TP,,5471,,
Ni Ni TP,,5597,,
Borung TP,,5103,,
Antwerp TP,,5013,,
Linga TP,,5466,,
Tutye TP,,5806,,
Panitya TP,,5624,,
Murrayville TP,,5564,,
Nandaly TP,,5572,,
Speed TP,,5725,,
Lake Boga TP,,5443,,
Benjeroop TP,,5071,,
Murrabit TP,,5562,,
Lake Charm TP,,5445,,
Culgoa TP,,5216,,
Hopetoun TP,,5385,,
Yaapeet TP,,5892,,
Goyura TP,,5344,,
Cohuna TP,,5185,,
Watchem TP,,5842,,
Wunghnu TP,,5886,,
Broughton TP,,5118,,
Corryong TP,,5200,,
Marungi TP,,5507,,
Wyuna TP,,5891,,
Tatonga TP,,5772,,
Yanac South TP,,5895,,
Bunbartha TP,,5130,,
Berringama TP,,5074,,
"Katandra West, at (Katandra)",,2850A,,
Glenrowen TP,,5327,,
Eskdale TP,,5285,,
Corop TP,,5199,,
Stanley TP,,5729,,
Bruarong TP,,5119,,
Congupna Road TP,,5190,,
Eldorado TP,,5272,,
Bears Lagoon TP,,5057,,
Lawloit TP,,5455,,
Beetoomba TP,,5063,,
Strathallan TP,,5737,,
Lake Rowan TP,,5446,,
Charlton TP,,5166,,
Allans Flat TP,,5007,,
Koyuga TP,,5435,,
Bungeet TP,,5133,,
Katandra TP,,5411,,
Tallangatta Valley TP,,5758,,
Kyabram TP,,5438,,
Diapur TP,,5243,,
Tarranginnie TP,,5766,,
Devenish West TP,,5240,,
Ailsa TP,,5003,,
Boolite TP,,5098,,
Salisbury TP,,5696,,
Korong Vale TP,,5433,,
Cashel TP,,5160,,
Miram TP,,5535,,
Lillimur TP,,5463,,
Gerang Gerung TP,,5315,,
Serviceton TP,,5709,,
Tarkedia TP,,5764,,
Bocca Flat TP,,5089,,
Girgarre TP,,5319,,
Wharparilla North TP,,5852,,
Wodonga TP,,5869,,
Barnawartha TP,,5046,,
Beechworth TP,,5061,,
Rochester TP,,5678,,
Kiata TP,,5417,,
Bundalong TP,,5131,,
Rutherglen TP,,5690,,
Norong TP,,5602,,
Willenabrina TP,,5860,,
Brim TP,,5111,,
Baker TP,,5028,,
Terrick Terrick TP,,5779,,
Elmore TP,,5277,,
Toolamba TP,,5789,,
Burrereo TP,,5137,,
Peechelba TP,,5628,,
Bangerang TP,,5038,,
Tallangatta,,5757,,
Telopea Downs TP,,5775,,
Lah TP,,5442,,
Chiltern TP,,5173,,
Lorquon TP,,5479,,
Koetong TP,,5425,,
Wilby TP,,5859,,
Tungamah TP,,5804,,
Corack TP,,5195,,
Boorgunyah TP,,5100,,
Wycheproof TP,,5889,,
Katamatite TP,,5410,,
Waaia TP,,5816,,
Numurkah TP,,5607,,
Granya TP,,5349,,
Boort TP,,5102,,
Bethanga TP,,5079,,
Echuca West TP,,5264,,
Durham TP,,5258,,
Glanville TP,,5321,,
Towong TP,,5799,,
Kingower TP,,5423,,
Bridgewater TP,,5109,,
Greta TP,,5357,,
Inglewood TP,,5391,,
Neilborough TP,,5583,,
Dartmouth TP,,5230,,
Rushworth TP,,5689,,
Pimpinio TP,,5636,,
Baddaginnie TP,,5026,,
Creek View TP,,5209,,
Sebastian TP,,5706,,
Wehla TP,,5846,,
Miepoll TP,,5529,,
Murchison TP,,5561,,
Goornong TP,,5335,,
Moorilim TP,,5548,,
Rupanyup TP,,5688,,
Nhill TP,,5595,,
Thoona TP,,5782,,
Kangaroo Flat TP,,5403,,
Stuartmill TP,,5742,,
Waanyarra TP,,5817,,
Edi TP,,5267,,
Fosterville TP,,5297,,
"Eaglehawk, at (Nerring)",,3301A,,
Ascot TP,,5020,,
Epsom TP,,5284,,
Minimay TP,,5532,,
Goroke TP,,5339,,
Violet Town TP,,5815,,
Whroo TP,,5857,,
Tallangallook TP,,5756,,
Redbank TP,,5668,,
Tolmie TP,,5785,,
Barkly TP,,5043,,
Benambra TP,,5067,,
Apsley TP,,5015,,
Ruffy TP,,5686,,
Baringhup TP,,5042,,
Maldon TP,,5493,,
Granite Flat TP,,5345,,
Kooyoora TP,,5431,,
Jerro TP,,5399,,
Colbinabbin TP,,5187,,
Longerenong TP,,5474,,
Kaniva TP,,5404,,
Mooroopna TP,,5549,,
Cravensville TP,,5208,,
Serpentine TP,,5708,,
Lillimur South TP,,5464,,
Nariel TP,,5575,,
Murra Warra TP,,5563,,
Stanhope TP,,5728,,
Gooroc TP,,5336,,
Kialla West TP,,5415,,
Dederang TP,,5234,,
Kurraca TP,,5437,,
Winton TP,,5867,,
Whorouly TP,,5856,,
Wail TP,,5818,,
Runnymede TP,,5687,,
Raywood TP,,5667,,
Everton TP,,5289,,
Wedderburn TP,,5845,,
Cooma TP,,5191,,
Tatura TP,,5773,,
Minyip TP,,5533,,
Benalla TP,,5066,,
East Murchison TP,,5262,,
Korokubeal TP,,5432,,
Mangalore TP,,5498,,
