preflabel,definition,notation,altlabel,related
GDA2020,Geodetic Geographic 2D,7844,,
GDA2020 / MGA zone 46,Projected GDA2020 / MGA zone 46,7846,"46, MGA2020",
GDA2020 / MGA zone 47,Projected GDA2020 / MGA zone 47,7847,"47, MGA2020",
GDA2020 / MGA zone 48,Projected GDA2020 / MGA zone 48,7848,"48, MGA2020",
GDA2020 / MGA zone 49,Projected GDA2020 / MGA zone 49,7849,"49, MGA2020",
GDA2020 / MGA zone 50,Projected GDA2020 / MGA zone 50,7850,"50, MGA2020",
GDA2020 / MGA zone 51,Projected GDA2020 / MGA zone 51,7851,"51, MGA2020",
GDA2020 / MGA zone 52,Projected GDA2020 / MGA zone 52,7852,"52, MGA2020",
GDA2020 / ALB2020,Projected GDA2020 / Albany Grid 2020,8013,ALB2020,
GDA2020 / BIO2020,Projected GDA2020 / Barrow Island and Onslow Grid 2020,8014,BIO2020,
GDA2020 / BRO2020,Projected GDA2020 / Broome Grid 2020,8015,BRO2020,
GDA2020 / BCG2020,Projected GDA2020 / Busselton Coastal Grid 2020,8016,BCG2020,
GDA2020 / CARN2020,Projected GDA2020 / Carnarvon Grid 2020,8017,CARN2020,
GDA2020 / CIG2020,Projected GDA2020 / Christmas Island Grid 2020,8018,CIG2020,
GDA2020 / CKIG2020,Projected GDA2020 / Cocos (Keeling) Islands Grid 2020,8019,CKIG2020,
GDA2020 / COL2020,Projected GDA2020 / Collie Grid 2020,8020,COL2020,
GDA2020 / ESP2020,Projected GDA2020 / Esperance Grid 2020,8021,ESP2020,
GDA2020 / EXM2020,Projected GDA2020 / Exmouth Grid 2020,8022,EXM2020,
GDA2020 / GCG2020,Projected GDA2020 / Geraldton Coastal Grid 2020,8023,GCG2020,
GDA2020 / GOLD2020,Projected GDA2020 / Goldfields Grid 2020,8024,GOLD2020,
GDA2020 / JCG2020,Projected GDA2020 / Jurien Coastal Grid 2020,8025,JCG2020,
GDA2020 / KALB2020,Projected GDA2020 / Kalbarri Grid 2020,8026,KALB2020,
GDA2020 / KAR2020,Projected GDA2020 / Karratha Grid 2020,8027,KAR2020,
GDA2020 / KUN2020,Projected GDA2020 / Kununurra Grid 2020,8028,KUN2020,
GDA2020 / LCG2020,Projected GDA2020 / Lancelin Coastal Grid 2020,8029,LCG2020,
GDA2020 / MRCG2020,Projected GDA2020 / Margaret River Coastal Grid 2020,8030,MRCG2020,
GDA2020 / PCG2020,Projected GDA2020 / Perth Coastal Grid 2020,8031,PCG2020,
GDA2020 / PHG2020,Projected GDA2020 / Port Hedland Grid 2020,8032,PHG2020,
GDA94,Geodetic Geographic 2D,4283,,
GDA94 / MGA zone 46,Projected projected GDA94 / MGA zone 46,6736,"46, MGA",
GDA94 / MGA zone 47,Projected projected GDA94 / MGA zone 47,6737,"47, MGA",
GDA94 / MGA zone 48,Projected projected GDA94 / MGA zone 48,28348,"48, MGA",
GDA94 / MGA zone 49,Projected projected GDA94 / MGA zone 49,28349,"49, MGA",
GDA94 / MGA zone 50,Projected projected GDA94 / MGA zone 50,28350,"50, MGA",
GDA94 / MGA zone 51,Projected projected GDA94 / MGA zone 51,28351,"51, MGA",
GDA94 / MGA zone 52,Projected projected GDA94 / MGA zone 52,28352,"52, MGA",
GDA94 / ALB94,Projected GDA94 / Albany Grid 1994,10448,ALB94,
GDA94 / BIO94,Projected GDA94 / Barrow Island and Onslow Grid 1994,10449,BIO94,
GDA94 / BRO94,Projected GDA94 / Broome Grid 1994,10450,BRO94,
GDA94 / BCG94,Projected GDA94 / Busselton Coastal Grid 1994,10451,BCG94,
GDA94 / CARN94,Projected GDA94 / Carnarvon Grid 1994,10452,CARN94,
GDA94 / CIG94,Projected GDA94 / Christmas Island Grid 1994,6721,CIG94,
GDA94 / CKIG94,Projected GDA94 / Cocos (Keeling) Islands Grid 1994,6723,CKIG94,
GDA94 / COL94,Projected GDA94 / Collie Grid 1994,10453,COL94,
GDA94 / ESP94,Projected GDA94 / Esperance Grid 1994,10454,ESP94,
GDA94 / EXM94,Projected GDA94 / Exmouth Grid 1994,10455,EXM94,
GDA94 / GCG94,Projected GDA94 / Geraldton Coastal Grid 1994,10456,GCG94,
GDA94 / GOLD94,Projected GDA94 / Goldfields Grid 1994,10457,GOLD94,
GDA94 / JCG94,Projected GDA94 / Jurien Coastal Grid 1994,10458,JCG94,
GDA94 / KALB94,Projected GDA94 / Kalbarri Grid 1994,10459,KALB94,
GDA94 / KAR94,Projected GDA94 / Karratha Grid 1994,10460,KAR94,
GDA94 / KUN94,Projected GDA94 / Kununurra Grid 1994,10461,KUN94,
GDA94 / LCG94,Projected GDA94 / Lancelin Coastal Grid 1994,10462,LCG94,
GDA94 / MRCG94,Projected GDA94 / Margaret River Coastal Grid 1994,10463,MRCG94,
GDA94 / PCG94,Projected GDA94 / Perth Coastal Grid 1994,10464,PCG94,
GDA94 / PHG94,Projected GDA95 / Port Hedland Grid 1994,10465,PHG94,
