preflabel,definition,notation,altlabel,related
City of Albany,,city-of-albany,,
City of Armadale,,city-of-armadale,,
Shire of Ashburton,,shire-of-ashburton,,
Shire of Augusta Margaret River,,shire-of-augusta-margaret-river,,
Town of Bassendean,,town-of-bassendean,,
City of Bayswater,,city-of-bayswater,,
City of Belmont,,city-of-belmont,,
Shire of Beverley,,shire-of-beverley,,
Shire of Boddington,,shire-of-boddington,,
Shire of Boyup Brook,,shire-of-boyup-brook,,
Shire of Bridgetown-Greenbushes,,shire-of-bridgetown-greenbushes,,
Shire of Brookton,,shire-of-brookton,,
Shire of Broome,,shire-of-broome,,
Shire of Broomehill-Tambellup,,shire-of-broomehill-tambellup,,
Shire of Bruce Rock,,shire-of-bruce-rock,,
City of Bunbury,,city-of-bunbury,,
City of Busselton,,city-of-busselton,,
Town of Cambridge,,town-of-cambridge,,
City of Canning,,city-of-canning,,
Shire of Capel,,shire-of-capel,,
Shire of Carnamah,,shire-of-carnamah,,
Shire of Carnarvon,,shire-of-carnarvon,,
Shire of Chapman Valley,,shire-of-chapman-valley,,
Shire of Chittering,,shire-of-chittering,,
Shire of Christmas Island,,shire-of-christmas-island,,
Town of Claremont,,town-of-claremont,,
City of Cockburn,,city-of-cockburn,,
Shire of Cocos Islands,,shire-of-cocos-islands,,
Shire of Collie,,shire-of-collie,,
Shire of Coolgardie,,shire-of-coolgardie,,
Shire of Coorow,,shire-of-coorow,,
Shire of Corrigin,,shire-of-corrigin,,
Town of Cottesloe,,town-of-cottesloe,,
Shire of Cranbrook,,shire-of-cranbrook,,
Shire of Cuballing,,shire-of-cuballing,,
Shire of Cue,,shire-of-cue,,
Shire of Cunderdin,,shire-of-cunderdin,,
Shire of Dalwallinu,,shire-of-dalwallinu,,
Shire of Dandaragan,,shire-of-dandaragan,,
Shire of Dardanup,,shire-of-dardanup,,
Shire of Denmark,,shire-of-denmark,,
Shire of Derby-West Kimberley,,shire-of-derby-west-kimberley,,
Shire of Donnybrook-Balingup,,shire-of-donnybrook-balingup,,
Shire of Dowerin,,shire-of-dowerin,,
Shire of Dumbleyung,,shire-of-dumbleyung,,
Shire of Dundas,,shire-of-dundas,,
Town of East Fremantle,,town-of-east-fremantle,,
Shire of East Pilbara,,shire-of-east-pilbara,,
Shire of Esperance,,shire-of-esperance,,
Shire of Exmouth,,shire-of-exmouth,,
