preflabel,definition,notation,altlabel,related
Abba River,,abba-river,,
Abbey,,abbey,,
Acton Park,,acton-park,,
Adamsvale,,adamsvale,,
Ajana,,ajana,,
Albany,,albany,,
Aldersyde,,aldersyde,,
Alexander Heights,,alexander-heights,,
Alexandra Bridge,,alexandra-bridge,,
Alfred Cove,,alfred-cove,,
Alkimos,,alkimos,,
Allanooka,,allanooka,,
Allanson,,allanson,,
Alma,,alma,,
Ambania,,ambania,,
Ambergate,,ambergate,,
Amelup,,amelup,,
Angelo River,,angelo-river,,
Anketell,,anketell,,
Anniebrook,,anniebrook,,
Antonymyre,,antonymyre,,
Applecross,,applecross,,
Ardath,,ardath,,
Ardross,,ardross,,
Argyle,,argyle,,
Armadale,,armadale,,
Arrino,,arrino,,
Arrowsmith,,arrowsmith,,
Arrowsmith East,,arrowsmith-east,,
Arthur River,,arthur-river,,
Ascot,,ascot,,
Ashby,,ashby,,
Ashendon,,ashendon,,
Ashfield,,ashfield,,
Attadale,,attadale,,
Atwell,,atwell,,
Aubin Grove,,aubin-grove,,
Augusta,,augusta,,
Australind,,australind,,
Aveley,,aveley,,
Avon Valley National Park,,avon-valley-national-park,,
Baandee,,baandee,,
Babakin,,babakin,,
Babbage Island,,babbage-island,,
Badgebup,,badgebup,,
Badgerin Rock,,badgerin-rock,,
Badgin,,badgin,,
Badgingarra,,badgingarra,,
Badjaling,,badjaling,,
Bailup,,bailup,,
Bakers Hill,,bakers-hill,,
Balbarrup,,balbarrup,,
Balcatta,,balcatta,,
Baldivis,,baldivis,,
Balga,,balga,,
Balingup,,balingup,,
Balkuling,,balkuling,,
Balla Balla,,balla-balla,,
Balladong,,balladong,,
Balladonia,,balladonia,,
Ballajura,,ballajura,,
Ballaying,,ballaying,,
Ballidu,,ballidu,,
Bally Bally,,bally-bally,,
Bambun,,bambun,,
Bandy Creek,,bandy-creek,,
Bandya,,bandya,,
Banjup,,banjup,,
Banksia Grove,,banksia-grove,,
Banksiadale,,banksiadale,,
Bannister,,bannister,,
Barbalin,,barbalin,,
Barberton,,barberton,,
Barrabup,,barrabup,,
Barragup,,barragup,,
Barrow Island,,barrow-island,,
Baskerville,,baskerville,,
Bassendean,,bassendean,,
Bateman,,bateman,,
Baudin,,baudin,,
Baynton,,baynton,,
Bayonet Head,,bayonet-head,,
Bayswater,,bayswater,,
Beachlands,,beachlands,,
Beacon,,beacon,,
Beaconsfield,,beaconsfield,,
Beadell,,beadell,,
Beaufort River,,beaufort-river,,
Beaumont,,beaumont,,
Beckenham,,beckenham,,
Bedford,,bedford,,
Bedfordale,,bedfordale,,
Beechboro,,beechboro,,
Beechina,,beechina,,
Beedelup,,beedelup,,
Beela,,beela,,
Beelerup,,beelerup,,
Beeliar,,beeliar,,
Beenong,,beenong,,
Beermullah,,beermullah,,
Bejoording,,bejoording,,
Beldon,,beldon,,
Belhus,,belhus,,
Bellevue,,bellevue,,
Belmont,,belmont,,
Bencubbin,,bencubbin,,
Benger,,benger,,
Benjaberring,,benjaberring,,
Benjinup,,benjinup,,
Bennett Springs,,bennett-springs,,
Bentley,,bentley,,
Beresford,,beresford,,
Berkshire Valley,,berkshire-valley,,
Bernier Island,,bernier-island,,
Bertram,,bertram,,
Beverley,,beverley,,
Bibra Lake,,bibra-lake,,
Bickley,,bickley,,
Bicton,,bicton,,
Biddelia,,biddelia,,
Big Grove,,big-grove,,
Bilbarin,,bilbarin,,
Bilingurr,,bilingurr,,
Bimbijy,,bimbijy,,
Bindi Bindi,,bindi-bindi,,
Bindoon,,bindoon,,
Bindoon Training Area,,bindoon-training-area,,
Binduli,,binduli,,
Binningup,,binningup,,
Binnu,,binnu,,
Birchmont,,birchmont,,
Bluff Point,,bluff-point,,
Blythewood,,blythewood,,
Boallia,,boallia,,
Bobalong,,bobalong,,
Bodallin,,bodallin,,
Boddington,,boddington,,
Boilup,,boilup,,
Bokal,,bokal,,
Bolgart,,bolgart,,
Bonnie Rock,,bonnie-rock,,
Bonniefield,,bonniefield,,
Boodarie,,boodarie,,
Boodarockin,,boodarockin,,
Bookara,,bookara,,
Boonanarring,,boonanarring,,
Boorabbin,,boorabbin,,
Booragoon,,booragoon,,
Booralaming,,booralaming,,
Boorara,,boorara,,
Boorara Brook,,boorara-brook,,
Bootenal,,bootenal,,
Boothendarra,,boothendarra,,
Boranup,,boranup,,
Borden,,borden,,
Borderdale,,borderdale,,
Bornholm,,bornholm,,
Boscabel,,boscabel,,
Boulder,,boulder,,
Boundain,,boundain,,
Bouvard,,bouvard,,
Bovell,,bovell,,
Bow Bridge,,bow-bridge,,
Bowelling,,bowelling,,
Bowes,,bowes,,
Bowgada,,bowgada,,
Boxwood Hill,,boxwood-hill,,
Boya,,boya,,
Boyanup,,boyanup,,
Boyatup,,boyatup,,
Boyerine,,boyerine,,
Boyup Brook,,boyup-brook,,
Brabham,,brabham,,
Bramley,,bramley,,
Brazier,,brazier,,
Breera,,breera,,
Bremer Bay,,bremer-bay,,
Brentwood,,brentwood,,
Breton Bay,,breton-bay,,
Bridgetown,,bridgetown,,
Brigadoon,,brigadoon,,
Bringo,,bringo,,
Broadwater,,broadwater,,
Broadwood,,broadwood,,
Brockman,,brockman,,
Broke,,broke,,
Brookdale,,brookdale,,
Brookhampton,,brookhampton,,
Brookton,,brookton,,
Broome,,broome,,
Broomehill East,,broomehill-east,,
Broomehill Village,,broomehill-village,,
Broomehill West,,broomehill-west,,
Brown Hill,,brown-hill,,
Brown Range,,brown-range,,
Bruce Rock,,bruce-rock,,
Brunswick,,brunswick,,
Buckingham,,buckingham,,
Buckland,,buckland,,
Bulgarra,,bulgarra,,
Bull Creek,,bull-creek,,
Bullabulling,,bullabulling,,
Bullaring,,bullaring,,
Buller,,buller,,
Bullfinch,,bullfinch,,
Bullock Hills,,bullock-hills,,
Bullsbrook,,bullsbrook,,
Bulong,,bulong,,
Bulyee,,bulyee,,
Bunbury,,bunbury,,
Bundanoon,,bundanoon,,
Buniche,,buniche,,
Bunjil,,bunjil,,
Buntine,,buntine,,
Burakin,,burakin,,
Buraminya,,buraminya,,
Burekup,,burekup,,
Burges,,burges,,
Burlong,,burlong,,
Burma Road,,burma-road,,
Burns Beach,,burns-beach,,
Burnside,,burnside,,
Burracoppin,,burracoppin,,
Burran Rock,,burran-rock,,
Burrup,,burrup,,
Burswood,,burswood,,
Bushmead,,bushmead,,
Busselton,,busselton,,
Butler,,butler,,
Byford,,byford,,
Cable Beach,,cable-beach,,
Cadoux,,cadoux,,
Caiguna,,caiguna,,
Calingiri,,calingiri,,
Calista,,calista,,
Caljie,,caljie,,
Callcup,,callcup,,
Camballin,,camballin,,
Cambridge Gulf,,cambridge-gulf,,
Camillo,,camillo,,
Cancanning,,cancanning,,
Cane,,cane,,
Canna,,canna,,
Canning Mills,,canning-mills,,
Canning Vale,,canning-vale,,
Cannington,,cannington,,
Cape Arid,,cape-arid,,
Cape Burney,,cape-burney,,
Cape Le Grand,,cape-le-grand,,
Cape Range National Park,,cape-range-national-park,,
Capel,,capel,,
Capel River,,capel-river,,
Capricorn,,capricorn,,
Caraban,,caraban,,
Carabooda,,carabooda,,
Carani,,carani,,
Carbla,,carbla,,
Carbunup River,,carbunup-river,,
Cardiff,,cardiff,,
Cardup,,cardup,,
Carey Park,,carey-park,,
Carine,,carine,,
Carlisle,,carlisle,,
Carlotta,,carlotta,,
Carmel,,carmel,,
Carnamah,,carnamah,,
Carnarvon,,carnarvon,,
Carrabin,,carrabin,,
Carramar,,carramar,,
Carrarang,,carrarang,,
Carrolup,,carrolup,,
Cartmeticup,,cartmeticup,,
Cascade,,cascade,,
Castletown,,castletown,,
Casuarina,,casuarina,,
Cataby,,cataby,,
Catterick,,catterick,,
Caversham,,caversham,,
Centennial Park,,centennial-park,,
Cervantes,,cervantes,,
Chadwick,,chadwick,,
Champion Lakes,,champion-lakes,,
Chandler,,chandler,,
Changerup,,changerup,,
Channybearup,,channybearup,,
Chapman Hill,,chapman-hill,,
Charley Creek,,charley-creek,,
Cherry Tree Pool,,cherry-tree-pool,,
Cheynes,,cheynes,,
Chichester,,chichester,,
Chidlow,,chidlow,,
Chittering,,chittering,,
Chowerup,,chowerup,,
Christmas Island,,christmas-island,,
Churchlands,,churchlands,,
City Beach,,city-beach,,
Clackline,,clackline,,
Claremont,,claremont,,
Clarkson,,clarkson,,
Cleary,,cleary,,
Cleaverville,,cleaverville,,
Clifton,,clifton,,
Cloverdale,,cloverdale,,
Coblinine,,coblinine,,
