preflabel,definition,notation,altlabel,related
FieldRecord,Field Record ,field-record,FB,
DepositedPlan,Deposited Plan,deposited-plan,DP,
StrataPlan,Strata Plan,strata-plan,BSP,
SurveyStrataPlan,Survey-Strata Plan,survey-strata-plan,SSP,
SchemePlan,Scheme,scheme-plan,,
CSD,Cadastral Survey Data (APX-05) attribute equivalent,csd,,
DSD,Landgate Database extract attribute equivalent,dsd,,
CommunityTitle(Land),Community Title (Land) Plan,community-title-land,CTL,
CommunityTitle(Building),Community Title (Building) Plan,community-title-building,CTB,
Survey Sheet,Survey Sheet,survey-sheet,SSA,
Conventional,Survey - Conventional Survey,conventional,,
Conventional-unsurveyed lots,Survey with unsurveyed Lots(s) - Conventional Survey with unsurveyed Lots(s),conventional-unsurveyed-lots,,
Compiled,No additional survey performed,compiled,,
Special Survey Area,Survey in compliance with Survey Practice Guidelines for Subdivisions within Special Survey Areas (WA),SSA,,
Coordinates,Survey by Coordinates,survey-by-coordinates,,
