preflabel,definition,notation,altlabel,related
Covenant – Flat/Crosslease,"A parcel defining an exclusive use area on a flat plan / cross lease dataset",c-fc,,
Covenant - Land,"A parcel defining an area subject to an agreement where one person promises that they will give, do, or not do, something to their land, e.g., QE2 Covenant, Consent Notice under Section 221 of the RMA 1991",c-l,,
Covenant to be revoked,"A parcel defining the part of a covenant to be revoked",c2br,,
Cross Lease Building,"A parcel created to enable a record of title comprising a leasehold estate and a share of the estate in fee simple to be issued",clb,,
Customary Entitlement,"A parcel to be created as part of a Treaty Settlement, such as a nohoanga entitlement",ce,,
Customary Marine Title,"A parcel defined on an order from the High Court recognising a customary marine title (CMT)",cmt,,
Easement,"A parcel creating a right by the owner of a property to use part of the land in another title for a specific purpose, for example water right, right of way, etc., and includes Māori Roadways in the nature of an easement",e,,
Easements to be Surrendered,"A parcel defining the part of an easement to be surrendered",e2bs,,
Esplanade Strip,"A parcel of land created by the registration of an instrument for one or more of the following purposes: (a) to contribute to the protection of conservation values by, in particular, (i) maintaining or enhancing the natural functioning of the adjacent sea, river, or lake; or (ii) maintaining or enhancing water quality; or (iii) maintaining or enhancing aquatic habitats; or (iv) protecting the natural values associated with the esplanade reserve or esplanade strip; or (v) mitigating natural hazards; or (b) to enable public access to or along any sea, river, or lake; or (c) to enable public recreational use of the esplanade reserve or esplanade strip and adjacent sea, river, or lake, where the use is compatible with conservation values (sections 2 and 229 of the Resource Management Act 1991)",es,,
Lease,"A parcel defining a Lease including one requiring subdivision consent under the Resource Management Act 1991",l,,
Licence/Permit,"A parcel defining a Licence/Permit parcel, for example mining permit area, crown forest licence, etc.",l-p,,
Marginal Strip-Movable,"A parcel defining a movable marginal strip in accordance with rule 84 Cadastral Survey Rules 2021",ms-m,,
Reserve Reclassification,"A parcel defining part of a reserve to be reclassified for a different purpose under the Reserves Act 1977, where a separate title will not issue",rr,,
