preflabel,definition,notation,altlabel,related
Rights of Way,"A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) as a means of access to or egress from the Dominant Tenement",row,,
Pedestrian Right of Way,"A right held by the Dominant Tenement (Benefited Land) to walk upon the Servient Tenement (Burdened Land) as a means of access to or egress from the Dominant Tenement",prow,,
Right to convey Computer Media,"A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) to convey computer media without interruption or impediment",rcm,,
Right to convey Electricity,A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) to convey electricity and electrical impulses without interruption or impediment,rce,,
Right to convey Gas,"A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) to convey gas without interruption or impediment",rcg,,
Right to convey Telecommunications,"A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) to convey electricity and electrical telecommunications without interruption or impediment",r-ct,,
Right to convey Telecommunications and Computer Media,"A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) to convey electricity, electrical impulses, and computer media without interruption or impediment",rct-cm,,
Right to convey Water,"A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) to convey water in free and unimpeded flow without interruption or impediment",rcw,,
Right to drain Water,"A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) to convey water (whether sourced from rain, springs, soakage, or seepage) in any quantity without interruption or impediment",rdw,,
Right to drain Storm Water,"A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) to convey storm water in any quantity without interruption or impediment",rdsw,,
Right to drain Sewage,"A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) to drain, discharge, and convey sewage and other waste material and waste fluids in any quantity without interruption or impediment",rds,,
Right to emit Dust,"A right held by the Dominant Tenement (Benefited Land) to emit dust",red,,
Right to emit Noise,"A right held by the Dominant Tenement (Benefited Land) to emit noise",ren,,
Right to emit Spray,"A right held by the Dominant Tenement (Benefited Land) to emit spray",res,,
Right to Support,"A right held by the Dominant Tenement (Benefited Land) to require the Servient Tenement (Burdened Land) to ensure structures on the Dominant Tenement are supported",rs,,
Right to Overhang Eaves,"A right held by the Dominant Tenement (Benefited Land) to allow eaves to encroach over the Servient Tenement (Burdened Land)",roe,,
Right to Light and Air,"A right held by the Dominant Tenement (Benefited Land) to ensure the Servient Tenement (Burdened Land) provides unobstructed access to light and air",rl-a,,
Right to Parking,"A right held by the Dominant Tenement (Benefited Land) to use the Servient Tenement (Burdened Land) to park vehicles without interruption or impediment",rp,,
