preflabel,definition,notation,altlabel,related
Implied Easement,"Easements, Covenants, Memorials & other Interests",implied-easement,implied-easement,
Expressed Easement,"Easements, Covenants, Memorials & other Interests",expressed-easement,expressed-easement,
Mineral Reservation,"Easements, Covenants, Memorials & other Interests",mineral-reservation,mineral-reservation,
Crown Grant in Trust,"Easements, Covenants, Memorials & other Interests",crown-grant-in-trust,crown-grant-in-trust,
Carbon Right,"Easements, Covenants, Memorials & other Interests",carbon-right,carbon-right,
Tree Plantation,"Easements, Covenants, Memorials & other Interests",tree-plantation,tree-plantation,
Carbon Covenant - Burden,"Easements, Covenants, Memorials & other Interests",carbon-covenant-burden,carbon-covenant-burden,
Carbon Covenant - Benefit,"Easements, Covenants, Memorials & other Interests",carbon-covenant-benefit,carbon-covenant-benefit,
Contaminated Site,"Easements, Covenants, Memorials & other Interests",contaminated-site,contaminated-site,
Caveat,"Easements, Covenants, Memorials & other Interests",caveat,caveat,
Lease,"Easements, Covenants, Memorials & other Interests",lease,lease,
Freehold Lease,"Easements, Covenants, Memorials & other Interests",freehold-lease,freehold-lease,
Profit a prendre,"Easements, Covenants, Memorials & other Interests",profit-a-prendre,profit-a-prendre,
Restrictive Covenant - Benefit,"Easements, Covenants, Memorials & other Interests",restrictive-covenant-benefit,restrictive-covenant-benefit,
Restrictive Covenant - Burden,"Easements, Covenants, Memorials & other Interests",restrictive-covenant-burden,restrictive-covenant-burden,
Covenant,"Easements, Covenants, Memorials & other Interests",covenant,covenant,
Right of Carriageway,"Easements, Covenants, Memorials & other Interests",right-of-carriageway,right-of-carriageway,
Easement,"Easements, Covenants, Memorials & other Interests",easement,easement,
Easement (Drainage),"Easements, Covenants, Memorials & other Interests",easement-drainage,easement-drainage,
Easement (Sewerage),"Easements, Covenants, Memorials & other Interests",easement-sewerage,easement-sewerage,
Easement (Water Supply),"Easements, Covenants, Memorials & other Interests",easement-water-supply,easement-water-supply,
Easement (Irrigation),"Easements, Covenants, Memorials & other Interests",easement-irrigation,easement-irrigation,
