preflabel,definition,notation,altlabel,related
Measured,observation has been directly measured by the surveyor,m,,
Derived,Observation determined from another source or indirect measurement type,d,,
About,Observations that are approximate/can't be measured directly.,a,,
Adjustment,,adjustment,,
Cadastral,,cadastral,,
Digitised,,digitised,,
GPS(Differential),,gps-differential,,
GPS(Kinematics),,gps-kinematic,,
GPS(Single Point),,gps-single-point,,
Intersection,,intersection,,
Plot,,plot,,
Radiation,,radiation,,
Resection,,resection,,
Transformed,,transformed,,
Traverse,,traverse,,
Triangulation,,triangulation,,
Unchecked Radiation,,unchecked-radiation,,
Unknown,,unknown,,
