preflabel,definition,notation,altlabel,related
Peg,Object in compliance with WA legislation,peg,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Nail,Object in compliance with WA legislation,nail,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Nail and Plate,Object in compliance with WA legislation,nail-and-plate,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Spike,Object in compliance with WA legislation,spike,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,46,47,48,49,60,61,78,150,181,200,201,202",
Drill Hole,Object in compliance with WA legislation,drill-hole,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Deck Spike,Object in compliance with WA legislation,deck-spike,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Deck Spike with Plate,Object in compliance with WA legislation,deck-spike-with-plate,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Hallmark,Object in compliance with WA legislation,hallmark,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,46,47,48,49,60,61,78,150,181,200,201,202",
Post,Object in compliance with WA legislation,post,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Kilometre Post,Object in compliance with WA legislation,kilometre-post,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Mile Post,Object in compliance with WA legislation,mile-post,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Cadastral Point Unmarked,,cadastral-point-unmarked,"purpose-wa-external: O ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,60,61,78,150,181,200,201,202",
Interest Point Unmarked,,interest-point-unmarked,"purpose-wa-external: O ; purpose-wa-internal: 12,21,22",
Interest Peg,,interest-peg,"purpose-wa-external: O ; purpose-wa-internal: 12,21,22",
Deck Spike,Object in compliance with WA legislation,deck-spike,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,46,47,48,49,60,61,78,150,181,200,201,202",
Ramset plug,Object in compliance with WA legislation,ramset-plug,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,46,47,48,49,60,61,78,150,181,200,201,202",
Star picket,Object in compliance with WA legislation,star-picket,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Non Standard Mark,Object in compliance with WA legislation,non-standard-mark,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Concrete Plinth,Object in compliance with WA legislation,concrete-plinth,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,41,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Concrete Plinth with hatch,Object in compliance with WA legislation,concrete-plinth-with-hatch,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,41,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Bench Mark,Object in compliance with WA legislation,bench-mark,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Wall,,wall,,
Fence,,fence,,
Structure,,structure,,
Steel Post,Object in compliance with WA legislation,steel-post,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,41,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Cairn,Object in compliance with WA legislation,cairn,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,41,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Trench,Object in compliance with WA legislation,trench,"purpose-wa-external: O,T ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,42,43,44,47,48,49,60,61,78,150,181,200,201,202",
Building,,building,,
Brass Plaque,Object in compliance with WA legislation,brass-plaque,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,41,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Beacon,Object in compliance with WA legislation,beacon,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,41,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Tube,Object in compliance with WA legislation,tube,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,41,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Pipe,Object in compliance with WA legislation,pipe,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,41,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Pole,Object in compliance with WA legislation,pole,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,41,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Trigonometrical Station,Object in compliance with WA legislation,trigonometrical-station,"purpose-wa-external: O,T,S ; purpose-wa-internal: 1,2,3,6,7,8,11,12,14,21,22,41,42,43,44,45,46,47,48,49,60,61,78,150,181,200,201,202",
Other,"Monument form defined as Other in CSD",other,,
