preflabel,definition,notation,altlabel,related
Unmarked,,unmarked,,
New Mark,,new-mark,,
Mark Found,,mark-found,M.F.,
Mark Found and Renewed,,mark-found-and-renewed,M.F. Renewed,Mark Found and Replaced
Mark Found and Adjusted,,mark-found-and-adjusted,M.F. Adj.,
Mark Gone,,mark-gone,M.G.,
Mark Gone and Replaced,,mark-gone-and-replaced,M.G. Replaced,
Mark Found and Replaced,,mark-found-and-replaced,M.G. Replaced,Mark Found and Renewed
Not Found,,not-found,,
Presumed gone,,presumed-gone,,Did not search?
Did not search,,did-not-search,,Presumed gone
